40.423845100,-86.908021532
40.423955872,-86.908254214
40.423982927,-86.909197681
40.424026572,-86.912208460
40.424056179,-86.913762130
40.424122285,-86.916623041
40.424154955,-86.917923912
40.424163377,-86.919160411
40.424256027,-86.921794675
40.424275425,-86.923412383
40.424269044,-86.925739869
40.424247349,-86.929001436
40.424237395,-86.930591315
40.426852724,-86.930625848
40.427366487,-86.930626519
40.428054817,-86.930823661
40.429013924,-86.931248456
40.429762467,-86.931718513
40.430627377,-86.931950189
40.431023461,-86.931127422
40.431435110,-86.929500662
40.431592317,-86.927493364
40.432186689,-86.927679107
40.433402977,-86.927217096
40.433189886,-86.926204562
40.433309319,-86.925223544
40.433356531,-86.924413852
40.433215406,-86.923289672
40.432956378,-86.921506673
40.431470328,-86.921579093
40.431429240,-86.919166446
40.431357017,-86.916675344
40.431341449,-86.914047785
40.431292960,-86.910490170
40.427999179,-86.910448261
40.425655714,-86.907981634
40.423845100,-86.908021532
