40.39539,-86.9261
40.39688,-86.92609
40.39804,-86.92391
40.40011,-86.91702
40.40198,-86.915
40.40324,-86.91171
40.40314,-86.91011
40.40794,-86.90511
40.41124,-86.90271
40.41194,-86.90181
40.41494,-86.89951
40.41554,-86.89871
40.41779,-86.89769
40.4182,-86.89736
40.41924,-86.89701
40.42104,-86.89601
40.42518,-86.8959
40.43194,-86.89511
40.43494,-86.89501
40.43634,-86.89531
40.44744,-86.89421
40.45144,-86.89347
40.45175,-86.8933
40.45073,-86.8848
40.45087,-86.88455
40.4541,-86.8842
40.45562,-86.8842
40.45562,-86.88039
40.45427,-86.8804
40.45425,-86.87643
40.44948,-86.87763
40.44904,-86.87667
40.4492,-86.87601
40.44906,-86.87501
40.44965,-86.87447
40.44932,-86.87399
40.4489,-86.87431
40.4488,-86.87323
40.4484,-86.87275
40.44753,-86.8726
40.44763,-86.87195
40.44785,-86.87175
40.44773,-86.86967
40.44596,-86.86604
40.44575,-86.86567
40.4452,-86.86545
40.4444,-86.86683
40.444,-86.8683
40.44349,-86.86759
40.44248,-86.86506
40.44131,-86.86267
40.44165,-86.86236
40.44242,-86.86238
40.44787,-86.85558
40.44819,-86.8548
40.44167,-86.85789
40.44164,-86.85733
40.44111,-86.85733
40.44111,-86.85184
40.4423,-86.85096
40.44323,-86.85002
40.4432,-86.84895
40.43956,-86.84894
40.4396,-86.83947
40.43932,-86.83946
40.43959,-86.83911
40.43959,-86.83845
40.43826,-86.83741
40.43822,-86.8378
40.43725,-86.83776
40.43756,-86.83677
40.43684,-86.83612
40.43387,-86.83435
40.43328,-86.83402
40.43251,-86.83417
40.43184,-86.83409
40.43108,-86.8326
40.42698,-86.83005
40.42661,-86.83004
40.42631,-86.82981
40.42619,-86.82936
40.42448,-86.82777
40.42395,-86.82761
40.42275,-86.82622
40.42072,-86.82438
40.42071,-86.8228
40.4202,-86.82213
40.42065,-86.82213
40.42079,-86.81858
40.42293,-86.81862
40.4229,-86.8161
40.42337,-86.81611
40.42335,-86.81472
40.41774,-86.81478
40.41777,-86.80994
40.4176,-86.8099
40.41024,-86.80979
40.4103,-86.81418
40.4072,-86.80937
40.40835,-86.80938
40.40833,-86.79917
40.40312,-86.79909
40.40334,-86.8003
40.40339,-86.80338
40.40128,-86.80117
40.39919,-86.79944
40.39893,-86.79899
40.39577,-86.79651
40.39584,-86.78948
40.38876,-86.78948
40.38875,-86.79027
40.38786,-86.79029
40.38429,-86.78766
40.38153,-86.78653
40.38151,-86.78555
40.3812,-86.78545
40.3812,-86.79036
40.37635,-86.79032
40.3743,-86.79037
40.3743,-86.79052
40.3738,-86.79051
40.37435,-86.80753
40.37479,-86.80957
40.37401,-86.80956
40.37416,-86.81434
40.36724,-86.81422
40.36722,-86.81906
40.37019,-86.81906
40.36977,-86.82029
40.36979,-86.8229
40.37407,-86.82302
40.3743,-86.83101
40.37192,-86.83098
40.37193,-86.83004
40.37219,-86.83
40.37122,-86.82876
40.37102,-86.829
40.36971,-86.82899
40.36971,-86.82859
40.37107,-86.82857
40.36683,-86.82321
40.35636,-86.81162
40.35637,-86.81892
40.35998,-86.81895
40.35994,-86.82112
40.35952,-86.82112
40.35953,-86.8236
40.36008,-86.8236
40.35993,-86.82974
40.35821,-86.8332
40.35966,-86.83324
40.35967,-86.83368
40.3617,-86.838
40.36701,-86.83809
40.367,-86.85696
40.36135,-86.8569
40.36136,-86.85715
40.36244,-86.85715
40.36399,-86.86067
40.36386,-86.86078
40.36413,-86.86201
40.36411,-86.86413
40.35985,-86.86405
40.35985,-86.86287
40.35771,-86.86282
40.35782,-86.86696
40.35704,-86.86697
40.35713,-86.87568
40.35576,-86.87569
40.35608,-86.88059
40.35608,-86.8941
40.35894,-86.89412
40.35893,-86.89362
40.3598,-86.89361
40.35977,-86.89001
40.3668,-86.89011
40.36686,-86.90456
40.37259,-86.9044
40.37432,-86.90452
40.3742,-86.91861
40.37434,-86.91877
40.37432,-86.92371
40.38765,-86.9241
40.39534,-86.92391
40.39472,-86.92603
40.39539,-86.9261
