40.424237395,-86.930591315
40.421648255,-86.930613108
40.421606650,-86.928924322
40.421595164,-86.927446760
40.421512465,-86.926952899
40.420929486,-86.926225014
40.420918510,-86.925716400
40.420848062,-86.924691126
40.419148099,-86.924669668
40.419078670,-86.921986789
40.420396529,-86.921920739
40.420372281,-86.919570789
40.420400613,-86.916525811
40.419553184,-86.916568726
40.418717741,-86.916466467
40.417890711,-86.916377619
40.417579040,-86.915882751
40.416899793,-86.915391907
40.416711154,-86.915386543
40.416535534,-86.910293363
40.418448447,-86.910258830
40.422082423,-86.910319515
40.422041329,-86.909238584
40.423982927,-86.909197681
40.423951022,-86.910360083
40.424056179,-86.913762130
40.424122285,-86.916623041
40.424154955,-86.917923912
40.424163377,-86.919160411
40.424256027,-86.921794675
40.424275425,-86.923412383
40.424269044,-86.925739869
40.424247349,-86.929001436
40.424237395,-86.930591315
